_id,代码,股票名称
ObjectId(5d84193b067cbab2e44156b1),603996,ST中新
ObjectId(5d84193b067cbab2e44156b2),603993,洛阳钼业
ObjectId(5d84193b067cbab2e44156b3),603991,至正股份
ObjectId(5d84193b067cbab2e44156b4),603990,麦迪科技
ObjectId(5d84193b067cbab2e44156b5),603989,艾华集团
ObjectId(5d84193b067cbab2e44156b6),603988,中电电机
ObjectId(5d84193b067cbab2e44156b7),603999,读者传媒
ObjectId(5d84193b067cbab2e44156b8),603997,继峰股份
ObjectId(5d84193b067cbab2e44156b9),603985,恒润股份
ObjectId(5d84193b067cbab2e44156ba),603982,泉峰汽车
ObjectId(5d84193b067cbab2e44156bb),603980,吉华集团
ObjectId(5d84193b067cbab2e44156bc),603979,金诚信
ObjectId(5d84193b067cbab2e44156bd),603978,深圳新星
ObjectId(5d84193b067cbab2e44156be),603977,国泰集团
ObjectId(5d84193b067cbab2e44156bf),603976,正川股份
ObjectId(5d84193b067cbab2e44156c0),603970,中农立华
ObjectId(5d84193b067cbab2e44156c1),603969,银龙股份
ObjectId(5d84193b067cbab2e44156c2),603986,兆易创新
ObjectId(5d84193b067cbab2e44156c3),603968,醋化股份
ObjectId(5d84193b067cbab2e44156c4),603987,康德莱
ObjectId(5d84193b067cbab2e44156c5),603998,方盛制药
ObjectId(5d84193b067cbab2e44156c6),603967,中创物流
ObjectId(5d84193b067cbab2e44156c7),603966,法兰泰克
ObjectId(5d84193b067cbab2e44156c8),603963,大理药业
ObjectId(5d84193b067cbab2e44156c9),603960,克来机电
ObjectId(5d84193b067cbab2e44156ca),603959,百利科技
ObjectId(5d84193b067cbab2e44156cb),603958,哈森股份
ObjectId(5d84193b067cbab2e44156cc),603956,威派格
ObjectId(5d84193b067cbab2e44156cd),603955,大千生态
ObjectId(5d84193b067cbab2e44156ce),603939,益丰药房
ObjectId(5d84193b067cbab2e44156cf),603938,三孚股份
ObjectId(5d84193b067cbab2e44156d0),603937,丽岛新材
ObjectId(5d84193b067cbab2e44156d1),603936,博敏电子
ObjectId(5d84193b067cbab2e44156d2),603929,亚翔集成
ObjectId(5d84193b067cbab2e44156d3),603928,兴业股份
ObjectId(5d84193b067cbab2e44156d4),603933,睿能科技
ObjectId(5d84193b067cbab2e44156d5),603926,铁流股份
ObjectId(5d84193b067cbab2e44156d6),603922,金鸿顺
ObjectId(5d84193b067cbab2e44156d7),603920,世运电路
ObjectId(5d84193b067cbab2e44156d8),603918,金桥信息
ObjectId(5d84193b067cbab2e44156d9),603919,金徽酒
ObjectId(5d84193b067cbab2e44156da),603916,苏博特
ObjectId(5d84193b067cbab2e44156db),603917,合力科技
ObjectId(5d84193b067cbab2e44156dc),603912,佳力图
ObjectId(5d84193b067cbab2e44156dd),603909,合诚股份
ObjectId(5d84193b067cbab2e44156de),603908,牧高笛
ObjectId(5d84193b067cbab2e44156df),603906,龙蟠科技
ObjectId(5d84193b067cbab2e44156e0),603903,中持股份
ObjectId(5d84193b067cbab2e44156e1),603901,永创智能
ObjectId(5d84193b067cbab2e44156e2),603900,莱绅通灵
ObjectId(5d84193b067cbab2e44156e3),603899,晨光文具
ObjectId(5d84193b067cbab2e44156e4),603898,XD好莱客
ObjectId(5d84193b067cbab2e44156e5),603897,长城科技
ObjectId(5d84193b067cbab2e44156e6),603896,寿仙谷
ObjectId(5d84193b067cbab2e44156e7),603895,天永智能
ObjectId(5d84193b067cbab2e44156e8),603887,城地股份
ObjectId(5d84193b067cbab2e44156e9),603890,春秋电子
ObjectId(5d84193b067cbab2e44156ea),603889,新澳股份
ObjectId(5d84193b067cbab2e44156eb),603886,元祖股份
ObjectId(5d84193b067cbab2e44156ec),603885,吉祥航空
ObjectId(5d84193b067cbab2e44156ed),603888,新华网
